sentence,amount_raw,amount_number,amount_unit,percentage,ministry,schemes,top_keywords,entities
"Revised Estimates 2024 -25 
110.",,,,,,Revised Estimates,revised; 2024; 25,2024(DATE); 110(CARDINAL)
"The Revised  Estimate  of the total  receipts  other  than  borrowings  is  
` 31.47  lakh crore,  of which  the net tax receipts are ` 25.57  lakh crore.",47  lakh,47,lakh,,,The Revised  Estimate,receipts; lakh crore; crore; lakh,31.47(CARDINAL); 25.57(CARDINAL)
"The 
Revised Estimate of the total expenditure is ` 47.16  lakh crore,  of which the  
capital  expenditure  is about  ` 10.18  lakh crore.",16  lakh,16,lakh,,,"The 
Revised Estimate",expenditure; lakh crore; crore; lakh,47.16(CARDINAL); 10.18(CARDINAL)
The Revised Estimate of the fiscal deficit is 4.8 per cent of GDP.,,,,,,The Revised Estimate,estimate; revised estimate; gdp; deficit,The Revised Estimate of the fiscal(ORG); 4.8 per cent(MONEY)
"19  
 
Budget Estimates 2025 -26 
112.",,,,,,Budget Estimates,19; 112; 2025 26; 26,19(CARDINAL); 2025(DATE); 112(CARDINAL)
"Coming to 2025 -26, the total receipts other than  borrowings  and the 
total expenditure are estimated at ` 34.96  lakh crore and ` 50.65  lakh crore 
respectively.",96  lakh,96,lakh,,,Coming,total; lakh crore; crore; lakh,2025(DATE); 34.96(CARDINAL); 50.65(CARDINAL)
The net tax receipts are estimated at ` 28.37  lakh crore.,37  lakh,37,lakh,,,The,net; receipts; estimated; 37,28.37(CARDINAL)
The fiscal  deficit  is estimated  to be 4.4 per cent  of GDP .,,,,,,The,gdp; deficit; fiscal deficit; estimated,4.4 per cent(MONEY)
"To finance the fiscal deficit, the net market borrowings from dated 
securities are estimated at ` 11.54 lakh crore.",54 lakh,54,lakh,,,,54; net; deficit; borrowings,11.54(CARDINAL)
"The balance financing is expected 
to come from small savings and other sources.",,,,,,The,expected; financing; savings; come,
"The gross market borrowings 
are estimated at ` 14.8 2 lakh crore.",2 lakh,2,lakh,,,The,borrowings; estimated; 14; lakh crore,14.8 2(CARDINAL)
"I will now move  to Part  B. 
 
  
 20  
 
PART B  
Indirect Taxes  
115.",,,,,,Part; Indirect Taxes,115; indirect taxes; indirect; taxes,20(CARDINAL); 115(CARDINAL)
"My proposals relating to Customs aim to rationalize tariff structure and 
address duty inversion.",,,,,,Customs,address; rationalize; relating; structure,Customs(ORG)
"These will also support domestic manufacturing and 
value addition, promote exports, facilitate trade and provide relief to common 
people.",,,,,,These,domestic manufacturing; relief; value addition; trade,
"Rationalisation of Customs Tariff Structure for Industrial Goods  
116.",,,,,,Rationalisation; Customs Tariff Structure; Industrial Goods,customs tariff; structure; customs; goods,
"As a part of comprehensive review of Customs rate structure 
announced in July 2024 Budget, I propose to:  
(i) remove seven tariff rates.",,,,,,Customs; July; Budget,remove; tariff rates; 2024 budget; announced july,Customs(ORG); July 2024(DATE); seven(CARDINAL)
"This is over and above the seven tariff 
rates removed in 2023 -24",,,,,,This,tariff rates; 2023; 24; rates,seven(CARDINAL); 2023(DATE)
budget.,,,,,,,budget,
"After this, there will be only eight 
remaining tariff rates including ‘zero’ rate.",,,,,,After,tariff rates; rates; including; rate,only eight(CARDINAL); zero(CARDINAL)
"(ii) apply appropriate cess to broadly maintain effective duty incidence 
except on a few items, where such incidence will reduce marginally.",,,,,,,cess; appropriate; apply; items,
(iii) levy not more than one cess or surcharge.,,,,,,,surcharge; cess; iii,levy(PERSON); more than one(CARDINAL)
"Therefore, I propose to 
exempt Social Welfare Surcharge on 82 tariff lines that are subject 
to a cess.",,,,,,Therefore; Social Welfare Surcharge,propose exempt; tariff lines; surcharge; lines,Social Welfare Surcharge(ORG); 82(CARDINAL)
I shall now take up sector specific proposals.,,,,,,,specific; proposals; shall; sector,
"Relief on import of Drugs/Medicines  
118.",,,,,,Relief; Drugs; Medicines,drugs medicines; import; relief; drugs,Drugs/Medicines(ORG); 118(CARDINAL)
"To provide relief to patients, particularly those suffering from cancer, 
rare diseases and other severe chronic diseases, I propose to add 36 lifesaving 
drugs and medicines to the list of medicines fully exempted from Basic Customs 
Duty (BCD).",,,,,,"Basic Customs 
Duty",medicines; cancer; fully exempted; drugs medicines,"36(CARDINAL); Basic Customs 
Duty(ORG); BCD(ORG)"
"I also pro pose to add 6 lifesaving medicines to the list attracting 
concessional customs duty of 5%.",,,,5%,,,pro pose; pro; pose; concessional,6(CARDINAL); 5%(PERCENT)
"Full exemption and concessional duty will 
also respectively apply on the bulk drugs for manufacture of the above.",,,,,,Full,respectively; bulk; bulk drugs; concessional,
"Specified drugs and medicines under Patient Assistance Programmes 
run by pharmaceutical companies are fully exempt from BCD, provided the 
medicines are supplied free of cost to patients.",,,,,,Specified; Patient Assistance Programmes,medicines; fully exempt; programmes; drugs medicines,Patient Assistance Programmes(WORK_OF_ART); BCD(ORG)
"I propose to add 37 more 
medicines along with 13 new patient assistance programmes.",,,,,,,programmes; propose add; assistance; 37,37(CARDINAL); 13(CARDINAL)
"21  
 
Support to Domestic Manufacturing and Value addition  
Critical Minerals  
120.",,,,,,Support; Domestic Manufacturing; Value; Critical Minerals,domestic manufacturing; 21; critical; critical minerals,21(CARDINAL); Domestic Manufacturing(ORG); Value(ORG); 120(CARDINAL)
"In the July 2024 Budget, I had fully exempted BCD on 25 critical minerals 
that are not domestically available.",,,,,,July; Budget,fully exempted; 2024 budget; critical; critical minerals,the July 2024(DATE); BCD(ORG); 25(CARDINAL)
"I had also reduced BCD of 2 other such 
minerals to provide a major fillip to their processing especially by MSMEs.",,,,,,,especially; reduced; processing; minerals,BCD(ORG); 2(CARDINAL)
"Now, 
I propose to fully exempt  cobalt powder and waste, the scrap of lithium -ion 
battery, Lead, Zinc and 12 more critical minerals.",,,,,,Now; Lead; Zinc,fully exempt; cobalt; scrap; waste scrap,"Lead, Zinc(ORG); 12(CARDINAL)"
"This will help secure their 
availability for manufacturing in India and promote more jobs for our youth.",,,,,,This; India,availability; help; youth; promote,India(GPE)
"Textiles  
121.",,,,,,Textiles,textiles,121(CARDINAL)
"To promote domestic production of technical textile products such as 
agro -textiles, medical textiles and geo textiles at competitive prices, I propose 
to add two more types of shuttle -less looms to the list of fully exempted textile 
machinery.",,,,,,,textiles; textile; technical; competitive,geo(PRODUCT); two(CARDINAL)
"I also pro pose to revise the BCD rate on knitted fabrics covered by 
nine tariff lines from “10% or 20%” to “20% or ` 115 per kg, whichever is 
higher”.",,,,10%,,,20; tariff lines; 115; pro pose,BCD(ORG); nine(CARDINAL); 10% or 20%(PERCENT); 20%(PERCENT); 115(CARDINAL)
"Electronic Goods  
122.",,,,,,Electronic Goods,electronic; goods,122(CARDINAL)
"In line with our ‘Make in India’ policy, and to rectify inverted duty 
structure, I propose to increase the BCD on Interactive Flat Panel Display (IFPD) 
from 10% to 20% and reduce the BCD to 5% on Open Cell and other 
components.",,,,10%,,Make in India; Make; India; Interactive Flat Panel Display; Open Cell,bcd; flat panel; interactive flat; interactive,India(GPE); BCD(ORG); Interactive Flat Panel(ORG); IFPD(ORG); 10% to 20%(PERCENT); BCD(ORG); 5%(PERCENT)
"In 2023 -24 Budget, for the manufacture of Open Cells of LCD/LED TVs, 
I had reduced the BCD on parts of Open Cells from 5% to 2.5% .",,,,5%,,Budget; Open Cells,open cells; cells; open; reduced,2023(DATE); Budget(ORG); Open Cells of(ORG); BCD(ORG); Open Cells(ORG); 5% to(PERCENT); 2.5%(PERCENT)
"To further boost 
the manufacture of such Open Cells, the BCD on these parts will now stand 
exempted.",,,,,,Open Cells,open cells; cells; open; exempted,Open Cells(PERSON); BCD(ORG)
"Lithium Ion Battery  
124.",,,,,,Lithium Ion Battery,lithium; lithium ion; ion battery; ion,124(CARDINAL)
"To the list of exempted capital goods, I propose to add 35 additional 
capital goods for EV battery manufacturing, and 28 additional capital goods for 
mobile phone battery manufacturing.",,,,,,,capital goods; capital; goods; battery,35(CARDINAL); EV(ORG); 28(CARDINAL)
"This will boost domestic manufacture of 
lithium -ion battery, both for mobile phones and electric vehicles.",,,,,,This,mobile; lithium; lithium ion; ion,
"Shipping Sector  
125.",,,,,,Shipping Sector,125; sector,125(CARDINAL)
"Considering that shipbuilding has a long gestation period, I propose to 
continue the exemption of BCD on raw materials, components, consumables 
or parts for the manufacture of ships for another ten years.",rs.,.,,,,Considering,components; shipbuilding; ships; long,BCD(ORG); another ten years(DATE)
"I also propose the 
same dispensation for ship break ing to make it more competitive.",,,,,,,competitive; ship; make; propose,
"22  
 
Telecommunication  
126.",,,,,,Telecommunication,22,"22(CARDINAL); Telecommunication  
126(EVENT)"
"To prevent classification disputes, I propose to reduce the BCD from 
20% to 10% on Carrier Grade ethernet switches to make it at par with Non -
Carrier Grade ethernet switches.",,,,20%,,Carrier Grade; Non,grade; ethernet; ethernet switches; switches,BCD(ORG); 20% to 10%(PERCENT); Carrier Grade(PERSON); Carrier Grade(PERSON)
"Export Promotion  
Handicraft Goods  
127.",,,,,,"Export Promotion  
Handicraft Goods",promotion; export promotion; export; goods,
"To facilitate exports of handicrafts, I propose to extend the time period 
for export from six months to one year, further extendable by another three 
months, if required.",,,,,,,months; required; handicrafts; extend time,"six months to one year(DATE); another three 
months(DATE)"
"I also propose to add nine items to the list of duty -free 
inputs.",,,,,,,duty free; inputs; propose add; items,nine(CARDINAL)
"Leather sector  
128.",,,,,,Leather,leather; sector,128(CARDINAL)
"I propose to fully exempt BCD on Wet Blue leather to facilitate imports 
for domestic value addition and employment.",,,,,,Wet Blue,fully exempt; fully; value addition; exempt,BCD(ORG); Wet Blue(ORG)
"I also propose to exempt crust 
leather from 20% export duty to facilitate exports by small tanners.",rs.,.,,20%,,,propose exempt; exempt; small; leather,20%(PERCENT)
"Marine products  
129.",,,,,,Marine,products,129(CARDINAL)
"To enhance India's competitiveness in the global seafood market, I 
propose to reduce BCD from 30% to 5% on  Frozen Fish Paste (Surimi) for 
manufacture and export of its analogue products.",,,,30%,,India; Frozen Fish Paste; Surimi,surimi; competitiveness; propose reduce; reduce bcd,India(GPE); BCD(ORG); 30% to 5%(PERCENT); Frozen Fish Paste(PERSON)
"I also propose to reduce BCD 
from 15% to 5% on fish hydrolysate for manufacture of fish and   shrimp feeds.",,,,15%,,,fish; propose reduce; reduce bcd; reduce,BCD(ORG); 15% to 5%(PERCENT)
"Domestic MROs for Railway Goods  
130.",,,,,Railway Goods,Domestic; Railway Goods,railway goods; railway; domestic; goods,Railway Goods(ORG); 130(CARDINAL)
"In July 2024 Budget, to promote development of domestic MROs for 
aircraft and ships, I had extended the time limit for export of foreign origin 
goods that were imported for repairs, from 6 months to one year and further 
extendable by one year.","rs,",",",,,,July; Budget,year; goods imported; 2024 budget; year extendable,July 2024(DATE); 6 months to one year(DATE); one year(DATE)
"I now pro pose to extend the same dispensation for 
railway goods.",,,,,,,pose; pro pose; pro; railway goods,
"Trade facilitation  
Time limit for Provisional Assessment  
131.",,,,,,Trade; Time; Provisional Assessment,trade facilitation; provisional assessment; facilitation; provisional,131(CARDINAL)
"Presently, the Customs Act, 1962 does not provide any time limit to 
finalize Provisional Assessments leading to uncertainty and cost to trade.",,,,,,Presently; Customs Act; Provisional Assessments,presently; provisional; 1962; customs act,the Customs Act(LAW); 1962(DATE); Provisional Assessments(ORG)
"As a 
measure of promoting ease of doing business, I propose to fix a time -limit of 
two years, extendable by a y ear, for finalising the provisional assessment.","rs,",",",,,,,promoting; limit years; provisional assessment; extendable,two years(DATE)
"23  
 
 Voluntary Compliance  
132.",,,,,,Voluntary Compliance,23; voluntary compliance; voluntary; compliance,23(CARDINAL); 132(CARDINAL)
"I propose to introduce a new provision that will enable importers or 
exporters, after clearance of goods, to voluntarily declare material facts and 
pay duty with interest but without penalty.","rs,",",",,,,,clearance; propose introduce; exporters; pay,
"This will incentivise voluntary 
compliance.",,,,,,This,voluntary compliance; voluntary; compliance,
"However, this wil l not apply in cases where department has 
already initiated audit or investigation proceedings.",,,,,,However,proceedings; apply; cases,
"Extended Time for End Use  
133.",,,,,,Extended Time; End Use,end use; extended; use; end,
"For industry to better plan their imports, I propose to extend the time 
limit for the end -use of imported inputs in the relevant rules, from six months 
to one year.",,,,,,For,extend time; propose extend; imported; inputs,six months(DATE); one year(DATE)
"This will provide operational flexibility in view of cost and 
uncertainty of supply.",,,,,,This,cost; supply; provide,
"Furth er, such importers will now have to file only 
quarterly statements instead of a monthly statement.",,,,,,Furth,quarterly; file; statement,quarterly(DATE); monthly(DATE)
"Direct Taxes  
I now come to my Direct tax proposals.",,,,,,Direct Taxes; Direct,direct; tax proposals; direct taxes; come,
"In Part A, I have briefly underlined Taxation Reforms as one of key 
reforms to realize our vision of Viksit Bharat.",,,,,,Part; Taxation Reforms; Viksit Bharat,reforms; viksit bharat; viksit; bharat,Taxation Reforms(ORG); Viksit Bharat(ORG)
"In respect of criminal law, Our 
Government had earlier ushered in Bharatiya Nyaya Sanhita replacing 
Bharatiya Danda Sanhita.",,,,,,"Our 
Government; Bharatiya Nyaya Sanhita; Bharatiya Danda Sanhita",bharatiya; earlier; respect; government,Bharatiya Nyaya(ORG); Bharatiya Danda Sanhita(ORG)
"I am happy to inform this August House and the 
country that the new income -tax bill will carry forward the same spirit of 
“Nyaya”.",,,,,,August House; Nyaya,happy; house; carry; august,August(DATE); House(ORG); Nyaya(WORK_OF_ART)
"The new bill will be clear and direct in text with close to half of the 
present law, in terms of both chapters and words.",,,,,,The,words; terms; present; direct,close to half(CARDINAL)
"It will be simple to 
understand for taxpayers and tax administration, leading to tax certainty and 
reduced litigation.",,,,,,,tax; tax certainty; understand; reduced,
"Reforms, however, are not a destination.",,,,,,Reforms,destination; reforms,
"They are a means to achieve 
good governance for our people and economy.",,,,,,They,good governance; achieve; good; governance,
"Providing good governance 
primarily involves being responsive.",,,,,,Providing,good governance; good; providing; governance,
"The Thirukkural captures this in Verse 542, 
which reads:",,,,,,The Thirukkural; Verse,,Thirukkural(ORG); Verse 542(PERSON)
"vaanokki vaalum ulakellaam mannavan  
koalnokki vaalung kuti  
Meaning:  
Just as living beings live expecting rains,  
Citizens live expecting good governance.",,,,,,Meaning; Just; Citizens,good governance; good; citizens; governance,
"24  
 
Our Government  is committed to keeping an ear to the ground and a finger on 
the pulse, and responding while balancing our nation -building efforts.",,,,,,Our Government,efforts; 24; building; government,24(CARDINAL)
"The 
following measures will detail just how our Government  under the guidance of 
PM Modi has taken steps to understand and address the needs voiced by our 
citizens.",,,,,,The; Government; Modi,understand; citizens; address; modi,
My tax proposals are guided by this spirit.,,,,,,,tax proposals; spirit; proposals; tax,
"The objectives of my proposals are as follows:  
(i) Personal Income Tax reforms with special focus on middle class  
(ii) Rationalization of TDS/TCS for easing difficulties  
(iii) Encouraging voluntary compliance  
(iv) Reducing compliance burden  
(v) Ease of doing business  
(vi) Employment and investment  
I will come to my proposal on personal income tax towards the end.",,,,,,The; Personal Income Tax; Rationalization; Encouraging; Reducing; Ease; Employment,personal income; personal; income tax; compliance,TDS(ORG)
"TDS/TCS rationalization for easing difficulties  
137.",,,,,,,easing difficulties; easing; difficulties; rationalization,TDS(ORG); TCS(ORG); 137(CARDINAL)
"I propose to rationalize Tax Deduction at Source (TDS) by reducing the 
number of rates and thresholds above which TDS is deducted.",,,,,,Tax Deduction; Source,tds; tax deduction; rationalize; reducing,TDS(ORG); TDS(ORG)
"Further, 
threshold amounts for tax deduction will be increased for better clarity and 
uniformity.",,,,,,Further,tax deduction; clarity; threshold; increased,
"The limit for tax deduction  on interest for senior citizens is being  
doubled from the present ` 50,000 to ` 1 lakh.",1 lakh,1,lakh,,,The,tax deduction; citizens; senior; present,"50,000(CARDINAL); 1(CARDINAL)"
"Similarly, the annual limit of ` 
2.40 lakh for TDS on rent is being  increased to ` 6 lakh.",40 lakh,40,lakh,,,Similarly,lakh; rent; annual; increased,annual(DATE); 2.40(CARDINAL); TDS(ORG); 6(CARDINAL)
"This will reduce the 
number of transactions liable to TDS, thus benefitting small tax payers 
receiving small payments.  
138.",,,,,,This,small; transactions; number; payers,TDS(ORG); 138(MONEY)
"The threshold to collect tax at source (TCS) on remittances under RBI’s 
Liberalized Remittance Scheme (LRS)  is proposed to be  increased from ` 7 lakh 
to ` 10 lakh.",7 lakh,7,lakh,,,The; Liberalized Remittance Scheme,lakh; tax source; collect; remittance,TCS(ORG); RBI(ORG); Liberalized Remittance Scheme(PERSON); 7(CARDINAL); 10(CARDINAL)
"I also propose to remove TCS on remittances for education 
purposes, where such remittance is out of a loan taken from a specified 
financial institution.",,,,,,,remove; remittance; loan; institution,TCS(ORG)
"Both TDS and TCS  are being applied on any transaction relating to sale 
of goods.",,,,,,Both,transaction; relating; tds tcs; tds,TDS(ORG); TCS(ORG)
"To prevent such compliance difficulties, I propose to omit the TCS.",,,,,,,omit; difficulties; compliance; tcs,TCS(ORG)
"I 
also propose that the provisions of the higher TDS deduction will now apply 
only in non -PAN cases.",,,,,,,higher; deduction; apply; cases,TDS(ORG); -PAN(PERSON)
"25  
 
140.",,,,,,,25,25(CARDINAL); 140(CARDINAL)
"In July 2024, the delay for payment of TDS up to the due date of filing 
statement was decriminalized.",,,,,,July,filing; statement; july 2024; payment,July 2024(DATE); TDS(ORG)
"I propose to provide the same relaxation to TCS 
provisions as well.",,,,,,,provisions; tcs; propose; provide,TCS(ORG)
"Encouraging Voluntary Compliance  
141.",,,,,,Encouraging Voluntary Compliance,encouraging voluntary; encouraging; voluntary compliance; voluntary,141(CARDINAL)
"The Government under the leadership of Prime Minister Modi believes 
in “Sabka Saath, Sabka Vikas, Sabka Vishwas and Sabka Prayas”.",,,,,,The Government; Prime Minister Modi; Sabka Saath; Sabka Vikas; Sabka Vishwas; Sabka Prayas,sabka; modi; prime; prime minister,Modi(PERSON); Sabka Saath(PERSON); Sabka Vikas(PERSON); Sabka Vishwas(PERSON); Sabka Prayas(PERSON)
"In line with 
this, we brought in updated return facility in 2022 for voluntary compliance by 
taxpayers who had omitted to report their correct income.",,,,,,,2022; brought; updated return; line,2022(DATE)
"Our trust in 
taxpayers was proved right.",,,,,,Our,taxpayers; trust,
"Nearly 90 lakh taxpayers voluntarily updated their 
incomes by paying addition al tax.",90 lakh,90,lakh,,,Nearly,nearly; incomes; 90; taxpayers,Nearly 90(CARDINAL)
"Taking this trust further, I now propose to 
extend the time -limit to file updated returns  for any assessment year , from the 
current limit of two years, to four years.","rs,",",",,,,Taking,limit; years; returns; file updated,two years(DATE); four years(DATE)
"Reducing Compliance Burden  
142.",,,,,,Reducing Compliance Burden,reducing compliance; reducing; compliance burden; burden,142(CARDINAL)
"I propose to reduce the compliance burden for small charitable 
trusts/institutions by increasing their period of registration from 5 years to 10 
years.",rs.,.,,,,,years; trusts institutions; charitable; trusts,"5 years(DATE); 10 
years(DATE)"
"It is also proposed that disproportionate consequences do not arise for 
minor defaults, such as incomple te applications filed by charitable entities.",,,,,,,charitable; entities; applications; minor,
"Presently tax -payers can claim the annual value of self -occupied 
properties as nil only on the fulfilment of certain conditions.",,,,,,Presently,certain conditions; presently; annual value; occupied,annual(DATE)
"Considering the 
difficulties faced by taxpayers, it is proposed to allow the benefit of two such 
self-occupied properties witho ut any condition.","rs,",",",,,,Considering,condition; occupied; allow; difficulties,two(CARDINAL)
"Ease of Doing Business  
144.",,,,,,Ease; Doing Business,ease doing; doing business; doing; ease,144(CARDINAL)
"To streamline the process of transfer pricing and to provide an 
alternative to yearly examination, I propose to introduce a scheme for 
determining arm's length price of international transaction for a block period 
of three years.",rs.,.,,,,,transfer pricing; pricing; price; process,three years(DATE)
"This will be in line with global best practices.  
145.",,,,,,This,best; line; practices; global,145(CARDINAL)
"With a view to reduce litigation and provide certainty in international 
taxation, the scope of safe harbour rules is being expanded.",,,,,,With,scope; expanded; certainty; rules,
"A number of senior and very senior citizens have very old National 
Savings Scheme accounts.",,,,,,"National 
Savings Scheme",senior; citizens; accounts; savings,"National 
Savings Scheme(ORG)"
"As interest is no longer payable on such accounts, I 
propose to exempt withdrawals made from NSS by individuals on or after the 
29th of August, 2024.",,,,,,August,withdrawals; propose exempt; august; accounts,"NSS(ORG); the 
29th of August, 2024(DATE)"
"I am also prop osing to allow similar treatment to NPS 
Vatsalya accounts as is available to normal NPS accounts, subject to overall 
limits.",,,,,,Vatsalya,nps; accounts; vatsalya; limits,NPS(ORG); NPS(ORG)
"26  
 
147.",,,,,,,26,26(CARDINAL); 147(CARDINAL)
"In my speech in July 2024, I had promised that all processes including 
giving effect to appellate orders shall be digitalized and made paper -less over 
the next two years.",rs.,.,,,,July,appellate; giving; july 2024; effect,July 2024(DATE); the next two years(DATE)
"I am happy to announce that digitalization is being made 
operational.",,,,,,,happy; announce,
"In July 2024, we brought in the Vivad Se Vishwas Scheme to resolve 
income tax disputes pending in appeal.",,,,,,July; Vivad; Vishwas Scheme,brought; vishwas; july 2024; income tax,July 2024(DATE); Vivad Se Vishwas Scheme(PERSON)
"The scheme has received a great 
response, with nearly 33,000 tax payers having availed of this scheme to settle 
their disputes.",,,,,,The,scheme; 000 tax; nearly; great,"nearly 33,000(CARDINAL)"
"Employment and Investment  
149.",,,,,,Employment; Investment,employment investment; employment; investment,149(CARDINAL)
I have a few proposals to promote investment and employment.,,,,,,,proposals; promote; employment; investment,
"Tax certainty for electronics manufacturing Schemes  
150.",,,,,,Tax; Schemes,tax certainty; certainty; electronics manufacturing; schemes,Schemes(ORG); 150(CARDINAL)
"It is proposed to provide a presumptive taxation regime for non -
residents who provide services to a resident company that is establishing or 
operating an electronics manufacturing facility.",,,,,,,provide; presumptive; presumptive taxation; non residents,
"I further propose to introduce 
a safe harbour for tax certainty fo r non -residents who store components for 
supply to specified electronics manufacturing units.",,,,,,,tax certainty; components; propose introduce; residents,
"Tonnage Tax Scheme for Inland Vessels  
151.",,,,,,Tonnage Tax Scheme; Inland Vessels,inland; inland vessels; vessels; tonnage tax,151(CARDINAL)
Presently the tonnage tax scheme is available to only sea going ships.,,,,,,Presently,presently; ships; tonnage tax; tonnage,
"The benefits of existing tonnage tax scheme are proposed to be extended to 
inland vessels registered under the Indian Vessels Act, 2021 to promote inland 
water transport in the country.",,,,,,The; Indian Vessels Act,inland; vessels; transport; inland vessels,the Indian Vessels Act(LAW); 2021(DATE)
"Extension for incorporation of Start -Ups 
152.",,,,,,Extension; Start; Ups,ups; start; extension,Start(PRODUCT); 152(CARDINAL)
We continue to support the Indian start -up eco -system.,,,,,,Indian,start; indian; support,Indian(NORP)
"I propose to 
extend the period of incorporation by 5 years to allow the benefit available to 
start -ups which are incorporated before 1.4.2030.",,,,,,,ups; incorporated; allow; propose extend,5 years(DATE); 1.4.2030(CARDINAL)
"International Financial Services Centre (IFSC)  
153.",,,,,,International Financial Services Centre,centre; international; ifsc; services,International Financial Services Centre(ORG); IFSC(ORG); 153(CARDINAL)
"In order to attract and promote additional activities in the IFSC, I am 
inter alia  proposing specific benefits to ship -leasing units, insurance offices and 
treasury centres of global companies which are set up in IFSC.",,,,,,,ifsc; treasury; leasing; ship leasing,IFSC(ORG); inter alia(PERSON); IFSC(ORG)
"Further, to claim 
benefits, the cut -off date for commencement in IFSC has also been extended 
by five years to 31.3.203 0.",,,,,,Further,commencement; cut; claim; benefits,IFSC(ORG); five years(DATE)
"27  
 
Alternate Investment Funds (AIFs)  
154.",,,,,,Alternate Investment Funds,27; funds; investment,27(CARDINAL); Alternate Investment Funds(ORG); 154(CARDINAL)
"Category I and category II AIFs are undertaking investments in 
infrastructure and other such sectors.",rs.,.,,,,Category,undertaking; sectors; ii; infrastructure,II(CARDINAL)
"I propose to provide certainty of 
taxation to these entities on the gains from securities.",,,,,,,entities; certainty; gains; securities,
"Extension of investment date for Sovereign and Pension Funds  
155.",,,,,,Extension; Sovereign; Pension Funds,pension; extension; funds; date,Sovereign(ORG); 155(CARDINAL)
"To promote funding from Sovereign Wealth Funds and Pension Funds 
to the infrastructure sector, I propose to extend the date of making an 
investment by five more years, to 31st March, 2030.","rs,",",",,,,Sovereign Wealth Funds; Pension Funds; March,funds; march 2030; 31st march; propose extend,Sovereign Wealth Funds(ORG); five more years(DATE); 31st March(DATE); 2030(DATE)
"Personal Income - tax Reforms with special focus on middle class  
156.",,,,,,Personal Income; Reforms,focus middle; personal income; personal; tax reforms,156(CARDINAL)
"Democracy, Demography and Demand are the key support pillars in our 
journey towards Viksit Bharat.",,,,,,Democracy; Demography; Demand; Viksit Bharat,demand; viksit bharat; viksit; bharat,Demography(PERSON); Viksit Bharat(PERSON)
"The middle class provides strength for India’s 
growth.",,,,,,The; India,provides; growth; middle class; middle,India(GPE)
"This Government  under the leadership of Prime Minister Modi has 
always believed in the admirable energy and ability of the middle class in 
nation building.",,,,,,This Government; Prime Minister Modi,modi; prime; prime minister; energy,Modi(PERSON)
"In recognition of their contribution, we have periodically 
reduced their tax burden.",,,,,,,reduced; contribution; burden; tax,
"Right after 2014, the ‘Nil tax ’ slab was raised to  
` 2.5 lakh, which was further raised to ` 5 lakh in 2019 and to ` 7 lakh in 2023.",5 lakh,5,lakh,,,Right; Nil,raised; lakh; slab; 2023,2014(DATE); 2.5(CARDINAL); 5(CARDINAL); 2019(DATE); 7(CARDINAL); 2023(DATE)
This is reflective of our Government ’s trust on the middle -class tax payers.,rs.,.,,,,This; Government,tax payers; payers; middle; middle class,Government(ORG)
"I am 
now happy to announce that there will be no income tax payable up to income 
of ` 12 lakh (i.e. average income of ` 1 lakh per month other than special rate 
income  such as capital gains ) under the new regime.",12 lakh,12,lakh,,,,income; lakh; income 12; happy,12(CARDINAL); 1(CARDINAL)
"This limit will be ` 12.75 
lakh for salaried tax payers, due to standard deduction of ` 75,000.","rs,",",",,,,This,75; deduction; tax payers; payers,"12.75(CARDINAL); 75,000(CARDINAL)"
"Slabs and rates are being changed across the board to benefit all tax -
payers.",rs.,.,,,,Slabs,slabs; payers; tax payers; board,
"The new structure will substantially reduce the taxes of the middle 
class and leave more money in their hands, boosting household consumption, 
savings and investment.",,,,,,The,savings; taxes; middle; class,
"In the new tax regime, I propose to revise tax rate structure as follows:  
0-4 lakh rupees  Nil 
4-8 lakh rupees  5 per cent  
8-12 lakh rupees  10 per cent  
12-16 lakh rupees  15 per cent  
16-20 lakh rupees  20 per cent  
20- 24 lakh rupees  25 per cent  
Above 24 lakh rupees  30 per cent  
 28  
 
159.",4 lakh,4,lakh,,,Nil; Above,rupees; lakh rupees; lakh; cent,0-4(CARDINAL); Nil(ORG); 4(CARDINAL); 5 per cent(MONEY); 10 per cent(MONEY); 12(CARDINAL); 15 per cent(MONEY); 16-20(CARDINAL); 20 per cent(MONEY); 24(CARDINAL); 25 per cent(MONEY); 24(CARDINAL); 30 per cent(MONEY); 28(CARDINAL); 159(CARDINAL)
"To tax payers upto ` 12 lakh of normal income (other than special rate 
income  such as capital gains ) tax rebate is being provided in addition to the 
benefit due to slab rate reduction in such a manner that there is no tax payable 
by them.",12 lakh,12,lakh,,,,tax; rate; income; upto,12(CARDINAL)
"The total tax benefit of slab rate changes and rebate at different 
income levels can be illustrated with examples.",,,,,,The,slab; rebate; changes; benefit,
"A  tax payer in the new regime 
with an income of ` 12 lakh will get a benefit of ` 80,000 in tax (which is 100% 
of tax payable as per existing  rates).",12 lakh,12,lakh,100%,,,tax; 80 000; existing rates; income 12,"12(CARDINAL); 80,000(CARDINAL); 100%(PERCENT)"
"A person having income of ` 18 lakh will 
get a benefit of ` 70,000 in tax (30% of tax payable as per existing  rates).",18 lakh,18,lakh,30%,,,tax; existing rates; 000 tax; person,"18(CARDINAL); 70,000(CARDINAL); 30%(PERCENT)"
"A person with an income of ` 25 lakh gets a benefit of ` 1,10,000 (25% of his 
tax payable as per existing  rates).",25 lakh,25,lakh,25%,,,25; existing rates; person; existing,"25(CARDINAL); 1,10,000(CARDINAL); 25%(PERCENT)"
